Configuration,Throughput (bytes/s),Goodput (bytes/s),Packet Loss Rate,Max Packet Size (bytes),Total Packets,Lost Packets,Total Bytes Received,Duration (s)
nagle_on_delayack_on,39.78937920030593,34.12422470780006,0.047619047619047616,40,120,6,4776,120.03203105926514
nagle_on_delayack_off,39.78962539055173,34.12443584583331,0.0,40,120,0,4776,120.03128838539124
nagle_off_delayack_on,39.78903272134563,34.12392756001501,0.01639344262295082,40,120,2,4776,120.03307628631592
nagle_off_delayack_off,39.78922137143634,34.12408935037757,0.008264462809917356,40,120,1,4776,120.0325071811676
